times,egoAcc,actVel,actAcc,disInit,DTC,PET,isCollision
1,2.9,42,2.5,92,33.0302117065265,3420,Success
1,2.9,42,2.5,92,32.7549561294867,3380,Success
1,2.9,42,2.5,92,32.4797369150996,3360,Success
1,2.9,42,0.5,94,34.768196411431,3580,Success
1,2.9,42,0.5,94,34.4927281833372,3540,Success
1,2.9,42,0.5,94,34.2172918214765,3520,Success
1,2.9,42,1.5,94,34.9722173205155,3600,Success
1,2.9,42,1.5,94,34.696725909262,3560,Success
1,2.9,42,1.5,94,34.4212658860211,3540,Success
1,2.9,42,2.5,94,35.0130588000165,3600,Success
1,2.9,42,2.5,94,34.737562789896,3560,Success
1,2.9,42,2.5,94,34.462098073208,3540,Success
1,2.9,42,0.5,96,36.7524524150512,3760,Success
1,2.9,42,0.5,96,36.4767727438465,3720,Success
1,2.9,42,0.5,96,36.2011206672751,3700,Success
1,2.9,42,1.5,96,36.9566272232818,3780,Success
1,2.9,42,1.5,96,36.6809274601488,3740,Success
1,2.9,42,1.5,96,36.4052548964451,3720,Success
1,2.9,42,2.5,96,36.9974992390706,3780,Success
1,2.9,42,2.5,96,36.7217954886285,3740,Success
1,2.9,42,2.5,96,36.4461188594112,3720,Success
1,2.9,42,0.5,98,38.738114329731,3940,Success
1,2.9,42,0.5,98,38.4622508853812,3900,Success
1,2.9,42,0.5,98,38.1864114923247,3880,Success
1,2.9,42,1.5,98,38.9424230015535,3960,Success
1,2.9,42,1.5,98,38.6665420321344,3920,Success
1,2.9,42,1.5,98,38.3906847846167,3900,Success
1,2.9,42,2.5,98,38.9833215887031,3960,Success
1,2.9,42,2.5,98,38.707437140059,3920,Success
1,2.9,42,2.5,98,38.431576348102,3900,Success
1,2.9,42,0.5,100,40.7250024542461,4120,Success
1,2.9,42,0.5,100,40.4489782953425,4080,Success
1,2.9,42,0.5,100,40.1729752242784,4060,Success
1,2.9,42,1.5,100,40.9294282767262,4140,Success
1,2.9,42,1.5,100,40.6533887415627,4100,Success
1,2.9,42,1.5,100,40.3773700175491,4080,Success
1,2.9,42,2.5,100,40.9703501261868,4140,Success
1,2.9,42,2.5,100,40.6943075373375,4100,Success
1,2.9,42,2.5,100,40.418285704833,4080,Success
1,2.9,42,0.5,102,42.7129663755942,4300,Success
1,2.9,42,0.5,102,42.4368008688338,4260,Success
1,2.9,42,0.5,102,42.1606539527213,4240,Success
1,2.9,42,1.5,102,42.9174952990188,4320,Success
1,2.9,42,1.5,102,42.6413162282935,4280,Success
1,2.9,42,1.5,102,42.365155514124,4260,Success
1,2.9,42,2.5,102,42.9584376277659,4320,Success
1,2.9,42,2.5,102,42.682255862411,4280,Success
1,2.9,42,2.5,102,42.4060924072244,4260,Success
1,2.9,42,0.5,104,44.701879251358,4480,Success
1,2.9,42,0.5,104,44.4255887800428,4440,Success
1,2.9,42,0.5,104,44.1493147804588,4420,Success
1,2.9,42,1.5,104,44.9064993804608,4500,Success
1,2.9,42,1.5,104,44.6301968841811,4460,Success
1,2.9,42,1.5,104,44.3539106602659,4440,Success
1,2.9,42,2.5,104,44.9474598312377,4500,Success
1,2.9,42,2.5,104,44.6711549453626,4460,Success
1,2.9,42,2.5,104,44.3948662923303,4440,Success
1,2.9,43,0.5,82,22.2588329808983,2440,Success
1,2.9,43,0.5,82,21.849486521733,2400,Success
1,2.9,43,0.5,82,21.4403613851149,2360,Success
1,2.9,43,1.5,82,22.7138812615216,2480,Success
1,2.9,43,1.5,82,22.3043000454562,2440,Success
1,2.9,43,1.5,82,21.8949296079905,2400,Success
1,2.9,43,2.5,82,22.8048687531702,2480,Success
1,2.9,43,2.5,82,22.3952419570513,2440,Success
1,2.9,43,2.5,82,21.9858239120111,2400,Success
1,2.9,43,0.5,84,24.2264918073532,2620,Success
1,2.9,43,0.5,84,23.8162065508651,2580,Success
1,2.9,43,0.5,84,23.4061014868705,2540,Success
1,2.9,43,1.5,84,24.6825376294356,2660,Success
1,2.9,43,1.5,84,24.2720606781412,2620,Success
1,2.9,43,1.5,84,23.8617558686129,2580,Success
1,2.9,43,2.5,84,24.7737190153594,2660,Success
1,2.9,43,2.5,84,24.3632047764309,2620,Success
1,2.9,43,2.5,84,23.9528611274192,2580,Success
1,2.9,43,0.5,86,26.198151074611,2800,Success
1,2.9,43,0.5,86,25.7870956082858,2760,Success
1,2.9,43,0.5,86,25.376188737357,2720,Success
1,2.9,43,1.5,86,26.6550175519138,2840,Success
1,2.9,43,1.5,86,26.2438035921077,2800,Success
1,2.9,43,1.5,86,25.8327319789309,2760,Success
1,2.9,43,2.5,86,26.7463587235629,2840,Success
1,2.9,43,2.5,86,26.3351138841456,2800,Success
1,2.9,43,2.5,86,25.9240101842606,2760,Success
1,2.9,43,0.5,88,28.1731159188833,2980,Success
1,2.9,43,0.5,88,27.7614209720247,2940,Success
1,2.9,43,0.5,88,27.3498499616127,2900,Success
1,2.9,43,1.5,88,28.6306654218086,3020,Success
1,2.9,43,1.5,88,28.2188379759534,2980,Success
1,2.9,43,1.5,88,27.8071295450777,2940,Success
1,2.9,43,2.5,88,28.7221397841899,3020,Success
1,2.9,43,2.5,88,28.3102864858984,2980,Success
1,2.9,43,2.5,88,27.8985512500644,2940,Success
1,2.9,43,0.5,90,30.1508427767689,3160,Success
