times,actRea,egoAcc,actVel,actAcc,disInit,DTC,PET,isCollision
1,0,2.9,38,0,94,38.2336334705773,4100,Success
1,0,2.9,38,0,95,39.2267813270478,4180,Success
1,0,2.9,38,0,96,40.2202254375809,4280,Success
1,0,2.9,38,0,97,41.2139470537929,4380,Success
1,0,2.9,38,0,98,42.2079289719896,4460,Success
1,0,2.9,38,0,99,43.2021553777418,4560,Success
1,0,2.9,38,0,100,44.1966117088053,4660,Success
1,0,2.9,38,0,101,45.1912845339152,4760,Success
1,0,2.9,38,0,102,46.1861614453552,4840,Success
1,0,2.9,38,0,103,47.1812309635148,4940,Success
1,0,2.9,38,0,104,48.1764824519052,5040,Success
1,0,2.9,39,0,82,25.0503341509126,2760,Success
1,0,2.9,39,0,83,26.0364738193843,2840,Success
1,0,2.9,39,0,84,27.0234501449282,2940,Success
1,0,2.9,39,0,85,28.011190032457,3040,Success
1,0,2.9,39,0,86,28.9996286131669,3120,Success
1,0,2.9,39,0,87,29.9887081251721,3220,Success
1,0,2.9,39,0,88,30.9783769711191,3320,Success
1,0,2.9,39,0,89,31.9685889211402,3400,Success
1,0,2.9,39,0,90,32.9593024357775,3500,Success
1,0,2.9,39,0,91,33.9504800884214,3580,Success
1,0,2.9,39,0,92,34.9420880706813,3680,Success
1,0,2.9,39,0,93,35.9340957671788,3780,Success
1,0,2.9,39,0,94,36.9264753886971,3860,Success
1,0,2.9,39,0,95,37.9192016545904,3960,Success
1,0,2.9,39,0,96,38.9122515169288,4040,Success
1,0,2.9,39,0,97,39.9056039201422,4140,Success
1,0,2.9,39,0,98,40.8992395909604,4240,Success
1,0,2.9,39,0,99,41.8931408543003,4320,Success
1,0,2.9,39,0,100,42.8872914714478,4420,Success
1,0,2.9,39,0,101,43.8816764974562,4520,Success
1,0,2.9,39,0,102,44.8762821551561,4600,Success
1,0,2.9,39,0,103,45.8710957235705,4700,Success
1,0,2.9,39,0,104,46.866105438852,4780,Success
1,0,2.9,40,0,82,23.7533337668251,2560,Success
1,0,2.9,40,0,83,24.7382440250753,2660,Success
1,0,2.9,40,0,84,25.724102015752,2740,Success
1,0,2.9,40,0,85,26.7108217335044,2840,Success
1,0,2.9,40,0,86,27.6983272112842,2920,Success
1,0,2.9,40,0,87,28.6865511058172,3020,Success
1,0,2.9,40,0,88,29.67543351436,3100,Success
1,0,2.9,40,0,89,30.664920980036,3200,Success
1,0,2.9,40,0,90,31.654965651777,3280,Success
